,prdtypecode,désignation,code_0a26
11,10,LITTERATURE/ROMANS (occasions?),1
15,40,JEUX VIDEOS (import?),19
19,50,ACCESSOIRES CONSOLES de JEUX,3
22,60,CONSOLES de JEUX,20
13,1140,FIGURINES MANGAS,12
9,1160,CARTES à COLLECTIONNER,17
26,1180,JEUX DE GUERRE sur TABLE,14
5,1280,JOUETS ENFANTS,4
18,1281,JEUX EDUCATIFS ENFANTS,9
2,1300,JOUETS RADIO COMMANDES,15
24,1301,VETEMENTS ENFANTS/BEBE,0
17,1302,LOISIRS/EQUIPEMENT extérieur,22
10,1320,ACCESSOIRES BEBES,21
1,1560,"MAISON: cusine, mobiliers",8
8,1920,"LITERIE, TEXTILE MAISON",10
25,1940,"ALIMENTATIONS, CONFISERIES, CAFE",26
3,2060,"LUMINAIRES, DECO",18
23,2220,ACCESSOIRES ANIMAUX,23
7,2280,REVUES d'ARTS et SPECTACLES,2
6,2403,"LIVRES & MAGASINES: histoire, musées",11
20,2462,JEUX VIDEOS OCCASIONS,16
4,2522,FOURNITURE de BUREAU,6
14,2582,MOBILIER & ACCESSOIRES extérieur,7
0,2583,PISCINE & ACCESSOIRES,13
16,2585,OUTILS JARDINS,25
12,2705,ROMAN: livre histoire?,5
21,2905,JEUX PC,24
